Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.07136,..,..,..,..,..,..,..,..,..,96.71978,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.17478,..,..,..,..,..,..,..,99.39788,..,99.68215,99.69263,99.70496,99.70286,99.71682,99.71966,99.71714,99.71955,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.59109,..,..,..,..,..,..,..,..,..,76.93232,..,..,..,..,..,..,..,..,..,83.55742,..,..,..,..,..,..,..,..,91.61258,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.97163,..,..,..,..,..,..,..,..,..,25.83898,..,..,..,..,..,..,..,..,..,40.82335,..,..,..,..,..,43.74085,..,..,..,46.74321,..,..,..,..,69.89721,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,99.25156,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.62822,..,..,..,..,..,..,..,..,..,99.41972,..,..,..,..,..,..,..,..,..,99.49399,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
